content_replicate,TimeToThreshold,RAF,MPR,MS
32P.-3_1,0,0,1.140921409,4.666666667
blank_2-20221110_M3,0,0,1.033519553,2.5
neg_2-20221110_M3,0,0,1.076086957,3.833333333
pos_2-20221110_M3,12,0.083333333,22.72957746,1285
29P.-1_2,0,0,1.022099448,2.5
29P.-2_2,0,0,1.024456522,5
29P.-3_2,0,0,1.028011204,1.5
30P.-1_2,0,0,1.03988604,1.5
30P.-2_2,0,0,1.007824726,0.5
30P.-3_2,0,0,1.157024793,7.666666667
32P.-1_2,0,0,1.016393443,2.666666667
32P.-2_2,0,0,1.044198895,2.166666667
32P.-3_2,0,0,1.030898876,2.333333333
blank_3-20221110_M3,0,0,1.160326087,5.166666667
neg_3-20221110_M3,0,0,1.053672316,2.666666667
pos_3-20221110_M3,15,0.066666667,17.09749304,928.5
29P.-1_3,0,0,1.04735376,2.833333333
29P.-2_3,0,0,1.018918919,2.166666667
29P.-3_3,0,0,1,1.833333333
30P.-1_3,0,0,1.030470914,3.5
30P.-2_3,0,0,1.023178808,2.166666667
30P.-3_3,0,0,1.032876712,3.833333333
32P.-1_3,0,0,1.005390836,1.5
32P.-2_3,0,0,1.043478261,3.333333333
32P.-3_3,0,0,1.043103448,3
blank_4-20221110_M3,0,0,1.016713092,2.166666667
neg_4-20221110_M3,0,0,1.071038251,3.833333333
pos_4-20221110_M3,8.25,0.121212121,12.73770492,452.8333333
29P.-1_4,0,0,1.041551247,2.5
29P.-2_4,0,0,1.010840108,2.666666667
29P.-3_4,0,0,1.032786885,3.666666667
30P.-1_4,0,0,1.029810298,2.5
30P.-2_4,0,0,1.019230769,1.833333333
30P.-3_4,0,0,1.057220708,3.333333333
32P.-1_4,0,0,1.071428571,5.666666667
32P.-2_4,0,0,1.016042781,3.333333333
32P.-3_4,0,0,1.081521739,3.333333333
blank_5-20221110_M3,0,0,1.089918256,5.333333333
neg_5-20221110_M3,0,0,1.06504065,4.166666667
pos_5-20221110_M3,15.75,0.063492063,29.71349862,1673.5
33P.-1_1,0,0,1.040214477,4.666666667
33P.-2_1,0,0,1.059299191,5.5
33P.-3_1,0,0,1.050131926,5.333333333
34P.-1_1,0,0,1.077777778,4.833333333
34P.-2_1,0,0,1.091152815,4.5
34P.-3_1,0,0,1.035911602,3.5
36P.-1_1,0,0,1.135638298,6.333333333
36P.-2_1,0,0,1.053824363,3.666666667
36P.-3_1,0,0,1.042134831,2.833333333
blank_6-20221110_M3,0,0,1.035135135,3.333333333
neg_6-20221110_M3,0,0,1.04851752,3
pos_6-20221110_M3,12.75,0.078431373,18.37903226,1076.5
33P.-1_2,0,0,1.005263158,3.5
33P.-2_2,0,0,1.048257373,3.166666667
33P.-3_2,0,0,1.034482759,3
34P.-1_2,0,0,1.056603774,2.833333333
34P.-2_2,0,0,1.077333333,4.5
34P.-3_2,0,0,1.051630435,3.166666667
36P.-1_2,0,0,1.088642659,3
