"","well","content","replicate","content_replicate","format","plate_ID","instrument","phase","final"
"20221114_M2.21","B09","21P.-3",2,"21P.-3_2",96,"20221114_M2","M2","P","1"
"20221114_M2.22","B10","22P.-1",2,"22P.-1_2",96,"20221114_M2","M2","P","2"
"20221114_M2.23","B11","22P.-2",2,"22P.-2_2",96,"20221114_M2","M2","P","0"
"20221114_M2.24","B12","22P.-3",2,"22P.-3_2",96,"20221114_M2","M2","P","0"
"20221114_M2.25","C01","blank",3,"blank_3-20221110_M2",96,"20221114_M2","M2","P","0"
"20221114_M2.26","C02","neg",3,"neg_3-20221110_M2",96,"20221114_M2","M2","P","0"
"20221114_M2.27","C03","pos",3,"pos_3-20221110_M2",96,"20221114_M2","M2","P","2"
"20221114_M2.28","C04","20P.-1",3,"20P.-1_3",96,"20221114_M2","M2","P","0"
"20221114_M2.29","C05","20P.-2",3,"20P.-2_3",96,"20221114_M2","M2","P","0"
"20221114_M2.30","C06","20P.-3",3,"20P.-3_3",96,"20221114_M2","M2","P","2"
"20221114_M2.31","C07","21P.-1",3,"21P.-1_3",96,"20221114_M2","M2","P","2"
"20221114_M2.32","C08","21P.-2",3,"21P.-2_3",96,"20221114_M2","M2","P","2"
"20221114_M2.33","C09","21P.-3",3,"21P.-3_3",96,"20221114_M2","M2","P","0"
"20221114_M2.34","C10","22P.-1",3,"22P.-1_3",96,"20221114_M2","M2","P","2"
"20221114_M2.35","C11","22P.-2",3,"22P.-2_3",96,"20221114_M2","M2","P","0"
"20221114_M2.36","C12","22P.-3",3,"22P.-3_3",96,"20221114_M2","M2","P","0"
"20221114_M2.37","D01","blank",4,"blank_4-20221110_M2",96,"20221114_M2","M2","P","0"
"20221114_M2.38","D02","neg",4,"neg_4-20221110_M2",96,"20221114_M2","M2","P","0"
"20221114_M2.39","D03","pos",4,"pos_4-20221110_M2",96,"20221114_M2","M2","P","2"
"20221114_M2.40","D04","20P.-1",4,"20P.-1_4",96,"20221114_M2","M2","P","0"
"20221114_M2.41","D05","20P.-2",4,"20P.-2_4",96,"20221114_M2","M2","P","0"
"20221114_M2.42","D06","20P.-3",4,"20P.-3_4",96,"20221114_M2","M2","P","2"
"20221114_M2.43","D07","21P.-1",4,"21P.-1_4",96,"20221114_M2","M2","P","2"
"20221114_M2.44","D08","21P.-2",4,"21P.-2_4",96,"20221114_M2","M2","P","2"
"20221114_M2.45","D09","21P.-3",4,"21P.-3_4",96,"20221114_M2","M2","P","0"
"20221114_M2.46","D10","22P.-1",4,"22P.-1_4",96,"20221114_M2","M2","P","2"
"20221114_M2.47","D11","22P.-2",4,"22P.-2_4",96,"20221114_M2","M2","P","0"
"20221114_M2.48","D12","22P.-3",4,"22P.-3_4",96,"20221114_M2","M2","P","0"
"20221114_M2.49","E01","blank",5,"blank_5-20221110_M2",96,"20221114_M2","M2","P","0"
"20221114_M2.50","E02","neg",5,"neg_5-20221110_M2",96,"20221114_M2","M2","P","0"
"20221114_M2.51","E03","pos",5,"pos_5-20221110_M2",96,"20221114_M2","M2","P","2"
"20221114_M2.52","E04","24P.-1",1,"24P.-1_1",96,"20221114_M2","M2","P","2"
"20221114_M2.53","E05","24P.-2",1,"24P.-2_1",96,"20221114_M2","M2","P","0"
"20221114_M2.54","E06","24P.-3",1,"24P.-3_1",96,"20221114_M2","M2","P","0"
"20221114_M2.55","E07","26P.-1",1,"26P.-1_1",96,"20221114_M2","M2","P","0"
"20221114_M2.56","E08","26P.-2",1,"26P.-2_1",96,"20221114_M2","M2","P","0"
"20221114_M2.57","E09","26P.-3",1,"26P.-3_1",96,"20221114_M2","M2","P","0"
"20221114_M2.58","E10","28P.-1",1,"28P.-1_1",96,"20221114_M2","M2","P","0"
"20221114_M2.59","E11","28P.-2",1,"28P.-2_1",96,"20221114_M2","M2","P","0"
"20221114_M2.60","E12","28P.-3",1,"28P.-3_1",96,"20221114_M2","M2","P","0"
"20221114_M2.61","F01","blank",6,"blank_6-20221110_M2",96,"20221114_M2","M2","P","0"
"20221114_M2.62","F02","neg",6,"neg_6-20221110_M2",96,"20221114_M2","M2","P","0"
"20221114_M2.63","F03","pos",6,"pos_6-20221110_M2",96,"20221114_M2","M2","P","2"
"20221114_M2.64","F04","24P.-1",2,"24P.-1_2",96,"20221114_M2","M2","P","0"
"20221114_M2.65","F05","24P.-2",2,"24P.-2_2",96,"20221114_M2","M2","P","0"
"20221114_M2.66","F06","24P.-3",2,"24P.-3_2",96,"20221114_M2","M2","P","0"
"20221114_M2.67","F07","26P.-1",2,"26P.-1_2",96,"20221114_M2","M2","P","0"
"20221114_M2.68","F08","26P.-2",2,"26P.-2_2",96,"20221114_M2","M2","P","0"
"20221114_M2.69","F09","26P.-3",2,"26P.-3_2",96,"20221114_M2","M2","P","0"
"20221114_M2.70","F10","28P.-1",2,"28P.-1_2",96,"20221114_M2","M2","P","0"
"20221114_M2.71","F11","28P.-2",2,"28P.-2_2",96,"20221114_M2","M2","P","0"
"20221114_M2.72","F12","28P.-3",2,"28P.-3_2",96,"20221114_M2","M2","P","0"
